Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability
1/26/2024,180 Water Street,1916,4698.0,2696,1.7,1,1.0,1.0,nan,nan,10038,$$$,Financial District,Lower Manhattan,Lower Manhattan,Metro Loft Management,29.0,574,2017.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Roof Deck,Swimming Pool,nan,nan,nan,nan,nan,0.8240709734341849
3/8/2024,480 Main Street,1,4150.0,2696,1.5,1,1.0,nan,nan,nan,10044,$$,Roosevelt Island,nan,nan,Related Rentals,22.0,266,2015.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,nan,0.9510320671055168
3/8/2024,500 West 56th Street,1,4700.0,2696,1.7,1,1.0,nan,nan,nan,10019,$$$,Hell's Kitchen,Midtown,Midtown,Related Rentals,26.0,371,2002.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.7460344509205914
3/8/2024,500 West 56th Street,1,4725.0,2696,1.8,1,1.0,nan,nan,nan,10019,$$$,Hell's Kitchen,Midtown,Midtown,Related Rentals,26.0,371,2002.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.6877349409689258
3/8/2024,500 West 56th Street,1,4975.0,2696,1.8,1,1.0,nan,nan,nan,10019,$$$,Hell's Kitchen,Midtown,Midtown,Related Rentals,26.0,371,2002.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.6446459985548676
3/8/2024,500 West 56th Street,1,5232.0,2696,1.9,1,1.0,nan,nan,nan,10019,$$$,Hell's Kitchen,Midtown,Midtown,Related Rentals,26.0,371,2002.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.5318483141194991
3/8/2024,500 West 56th Street,1,5900.0,2696,2.2,1,1.0,nan,nan,nan,10019,$$$,Hell's Kitchen,Midtown,Midtown,Related Rentals,26.0,371,2002.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.23208356969144409
3/8/2024,500 West 56th Street,1,6295.0,2696,2.3,1,2.0,nan,nan,nan,10019,$$$,Hell's Kitchen,Midtown,Midtown,Related Rentals,26.0,371,2002.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,0.022370039313311822
3/8/2024,535 West 23rd Street,1,5895.0,2696,2.2,1,1.0,nan,nan,nan,10011,$$$$,Chelsea,Midtown,Midtown,Related Rentals,14.0,313,2001.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,nan,0.2852498314935163
4/24/2024,10 Waterside Plaza,1G-1 - 10 - 30K,4815.0,2696,1.8,1,1.0,nan,nan,nan,10010,$$,Kips Bay,nan,Midtown,Brookfield Properties,37.0,380,1974.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Swimming Pool,nan,nan,nan,nan,nan,0.764601400518716
